comment,score,en
เป็นโรงพยาบาลที่มีเครื่องมือและอุปกรณ์ที่ครบครันสามารถวิริจฉัยโรคได้อย่างรวดเร็ว..เนื่องจากรักษามาหลายที่แล้วไม่สามารถวินิจฉัยโรคได้ทำให้การรักษาช้า..แพทย์มีหลายสาขาเอาใจใส่ดีค่ะ,5,"Is a hospital with complete tools and equipment, able to quickly diagnose the disease .. Because many treatments have been unable to diagnose the disease, therefore the treatment is slow .. Doctors have many branches pay attention."
บริการดีตั้งแต่เอารถไปจอดให้ ใส่ใจการบริการ หมอก็ตอบข้อซักถามดี เหมาะสมกับราคาและเวลาเงินทองที่ไปรักษา,4,"Good service since parking Pay attention to service The doctor answered the question well. Suitable for the price and time, money, and money spent on treatment"
ไปตรวจสุขภาพประจำปีที่รพ.ทางเจ้าหน้าที่ให้การต้อนรับอย่างดี สอบถามข้อมูลเบื้องต้นอย่างละเอียด พาไปยังแผนกที่ทำการตรวจในแต่ละจุด ให้คำแนะนำ และสอบถามความต้องการอยู่ตลอด เอาใจใส่มาก บริการดีค่ะ ประทับใจ,4,"Annual health check-up at the hospital. The staff are welcoming. Inquire about preliminary information Take to the inspection department at each point, give advice and inquire about needs all the time. Very attentive. Good service. Impressed."
บริการดี รวดเร็ว การรักษาดี มั่นใจมากคุณพ่อรอดชีวิตจากเส้นเลือดสมองตีบและการติดเชือในกระแสเลือดได้ก็เพราะที่นี่ครับ,5,"Good service, fast, good treatment. Very confident. Father survived a stroke and infection in the blood because of this."
เคยเข้าใช้บริการ รพ. กรุงเทพเป็นประจำ เพราะไว้ใจคุณหมอ คุณหมอเก่ง พนักงาน บริการดี สุภาพ,5,"Used to use the Bangkok Hospital service regularly Because trusting the doctor, the doctor is good, the staff are good, polite"
บริการดี ทีมงานหน้ารัก แพทย์วินิฉัยตรงจุด ยามีคุณภาพ ค่าใช้จ่ายเป็นธรรม,4,"Good service, love team Doctor Vinichai at the point, quality medicine, fair cost"
การบริการดีแบบ5ดาว คุณหมอและพยาบาลดูแลเอาใจใส่ดี,5,Good service with 5 stars. The doctors and nurses take good care.
ถ้าไม่อยากเสียเวลารอหมอนาน 1 ต้องทำเรื่องจองคิว เพื่อช่วยย่นเวลาหาประวัติเรา 2. เราควรตรวจสอบก่อนว่าอาการที่เราเป็นแพทยผ์ผู้เชี่ยวชาญอยู่ที่ไหน ตารางการออกตรวจ และจำนวนผู้ป่วยที่รอตรวจ หากเราเตรียมสิ่งเหล่านี้แล้วเราจะสามารถแก้ปัญหาเรื่องการรอคอยหลายๆ ชั่วโมงได้นะค่ะ,5,"If not wanting to waste time waiting for a doctor for a long time, 1 must make a reservation. To help shorten the time to find our history. 2. We should check first that the symptoms that we are medical experts Examination schedule And the number of patients awaiting examination If we prepare these things then we will be able to solve many waiting problems. An hour"
บริการประทับใจ ตั้งแต่เจ้าหน้าที่เคาร์เตอ พยายาล ผู้ช่วยแพทย์ และแพทย์,5,"Impressive service From counter staff, drug dealers, medical assistants and doctors"
พยาบาลหมอให้ความสำคัญแก่ผู้ป่วยเท่ากันทุกราย บริการดีค่ะ,5,"Nurses, doctors give equal importance to all patients. Good service."
ไปเข้ารับการตรวจสุขภาพก่อนเริ่มงานมาค่ะ เจ้าหน้าที่ทุกท่านอัธยาศัยดีบริการดี ในโรงพยาบาลมีห้างย่อมๆในนั้นมีร้านอาหารให้เลือกสรรเยอะอยู่ ติดอย่างเดียวตรงที่รอนานคิวเยอะค่ะ ขนาดไปวันธรรมดา,4,"Went to have a health check before starting work All the staff are hospitable, good service. In the hospital there is a small mall in there, there are many restaurants to choose from. Only stuck in a long queue. Size to weekday"
คุณหมอโอเค แต่พนักงานบริการแย่ยิ่งตอนจ่ายตังรับยาต้องรอประมาณชั่วโมงครึง ทำอย่างกับรพรัฐ,3,"The doctor is ok but the service staff are terrible. When paying for the drug, I have to wait about half an hour. Do with government"
เมื่อวันที่11มค.60ที่ผ่านมา ไปรับการรักษาโดยการผ่าคัคลอดที่รพ.กรุงเทพ (สำนักงานใหญ่) ประทับใจมากๆ. ตั้งแต่ทีมแพทย์ผ่าตัด กุมารแพทย์ พยาบาลห้องคลอด พยาบาลวอร์ดดูแลหลังคลอด และพยาบาลเนิร์สเซอร์รี่ มีความเป็นมืออาชีพในการรักษาและการทำงานเป็นทีมได้อย่างดี และมีคุณภาพมากๆค่ะ ตั้งแต่รู้ว่าต้องผ่าตัดคลอดรู้สึกกังวลมาก(ทุกคนกลัวการผ่าตัดอยู่แล้ว) แต่เมื่อเข้ารักษาวันผ่าตัดจริงทีมเจ้าหน้าที่ที่ให้การดูแลทำให้เรารู้สึกผ่อนคลาย การผ่าตัดดำเนินไปอย่างรวดเร็วและปลอดภัย สามีกลัวมากบอกว่าไม่อยากเข้าไปในห้องผ่าตัดเลย (แต่ในที่สุดก็เข้าไปให้กำลังใจเราในห้องผ่าตัด)บอกว่าไม่น่ากลัวอย่างที่คิด พอกลับมาพักฟื้น ทีมพยาบาลและเจ้าหน้าที่ให้การดูแลช่วยเหลือเป็นอย่างดี คอยให้คำอนะนำตลอดการรักษา พยาบาลเนิร์สเซอร์รี่น่ารักมากๆ มีความเหมาะสมที่จะมาดูแลเด็กแรกเกิดจริงๆ มีความสุภาพอ่อนโยนและมีความรู้ดูเป็นมืออาชีพมากๆ รวมถึงแม่บ้านเจ้าหน้าที่เสิร์ฟอาหาร ทุกๆคนมีความสุภาพมากๆ. ทำให้เรารู้สึกประทับใจในการเข้ารับการรักษาโดยการผ่าตัดคลอดในครั้งนี้มากๆค่ะ. จึงอยากแนะนำใครที่กำลังมองหารพ.เอกชน สำหรับการผ่าตัดคลอดจึงขอแนะนำรพ.กรุงเทพ. เพื่อเป็นตัวเลือกในการรักษา แล้วจะรู้สึดไม่ผิดหวัง คุ้มค่ากับค่ารักษาที่จ่ายไปค่ะ,5,"On the 11th of January 2017 Go to be treated by caesarean section at Bangkok Hospital (Head office) Very impressed. From a team of pediatric surgery doctors, nurses, delivery rooms Ward nurses after care And nursery nurses Professional skills in maintaining and working as a team well And very high quality Since knowing that the cesarean section is very worried (everyone is already afraid of the surgery), but when the actual surgery day, the team of care staff makes us feel relaxed The surgery proceeded quickly and safely. The husband is very scared, saying that he does not want to go into the operating room at all. (But finally encouraged us in the operating room) to say that it's not as scary as you think. Once he returned The nursing team and staff are very helpful. Waiting for advice throughout the treatment Nurse nursery is very cute Is really suitable to take care of a newborn baby Polite, gentle and knowledgeable, looks very professional Including maids, food waiters Everyone is very polite. Made us very impressed with this cesarean treatment. Therefore would like to recommend to anyone who is looking for a private hospital For cesarean section, therefore recommend Bangkok Hospital. As a treatment option And will know, not disappointed Worth the treatment fee paid."
"ไปใช้บริการตรวจร่างกาย package 15,000 บาทในวันที่ 30 ธันวาคม เข้าใจว่าเป็นวันที่มีผู้มาใช้บริการมาก ทำให้คุณหมอตรวจ ultrasound เร่งรีบมาก ใช้เวลาตรวจแบบรีบๆ เมื่อเปรียบเทียบกับที่เคยตรวจ packge ราคาเดียวกันกับโรงพยาบาลสมิตเวช. สมิตเวชดีกว่ามาก. แม้ว่าคนมารับบริการจะมาก. แต่รักษาคุณภาพใส่ใจในการตรวจมากกว่า การบริการโดยรวมสะดวกสบายมากกว่า มีคนมาคอยดูแลแนะนำและส่งตลอด ไม่ได้แค่แจ้งให้เดินไปตรวจที่ counter อื่นเอง คงไม่ไปอีกแล่วค่ะ",1,"Go to use the physical examination service package 15,000 baht on December 30, understand that is the day that has many users Causing the ultrasound doctor to rush in a hurry When compared to the previous packge examination at the same price with Samitivej Hospital. Smythejetch is much better. Even though many people come to get the service. But maintain quality, pay more attention to examination The overall service is more convenient. There are people to take care, recommend and send all along. Could not just inform to walk to inspect at other counter, probably not going anymore"
บริการดี รวดเร็ว คุณหมอเป็นมิตร อธิบายด้วยภาษาที่เข้าใจง่าย เป็นกันเองค่ะ,5,"Good service, fast, friendly doctor. Explain in easy to understand language Friendly"
พยาบาลสวย. ใจดี. บริการดีเหมือนเป็นคนในครอบครัว,5,"Beautiful nurse. Good heart. Good service, like family."
บริการดีมาก..สะอาด,4,Very good service .. clean.
บริการดีดูแลเอาใจใส่คนใข้ตลอดเวลา,5,"Good service, taking care of people all the time"
สะอาด พยาบาลพูดจาดี ดูแลคนไข้ด้วยใจ,4,"Clean, good nurse Take care of the patient with heart"
ช่วงเดือนที่แล้ว ดิฉันปวดท้องมาก ประมาณ5ทุ่มค่ะ จึงตัดสินใจเข้าโรงพยาบาลซึ่งบ้านอยู่ใกล้โรงพยาบาลกรุงเทพและเคยรักษามาตลอด พอไปถึงโรงพยาบาล ก็มีเจ้าหน้าที่มารับและพานั่งรอเข็นไปยังเตียงผู้ป่วยฉุกเฉิน มีคุณหมอเข้ามาดูแลอาการต่อเนื่อง แม้จะไม่ได้เป็นหมอประจำด้านโรคท้องและลำใส้ แต่ก็เข้ามาถามอาการและใส่ใจดีมากค่ะ ให้ยาและฉีดยาให้บรรเทาอาการปวด หลังจากนั้นทางคุณหมอให้นอนรอดูอาการสักประมาณ1ชั่วโมงเพื่อให้ยาออกฤทธิ์ สรุปว่าบรรเทาอาการปวดท้องได้ดี ดิฉันเริ่มหายเป็นปกติ คุณหมอจึงให้ยาและบอกว่าสามารถกลับบ้านได้ค่ะ,5,"Last month I have a very bad stomach. Around 11pm Therefore decided to go to the hospital, which is near the Bangkok Hospital and has always been treated Once he arrived at the hospital With the staff picking up and taking the wheelchair to the emergency bed There is a doctor to take care of continuous symptoms. Even though he is not a regular doctor in the field of stomach and intestines But came in to ask for symptoms and were very attentive Give medication and injections to relieve pain After that, the doctor lay to wait to see the symptoms for about 1 hour in order for the drug to work. Conclude that it can relieve stomach ache well I began to recover completely. The doctor then gave me the medicine and said that I can go home."
แผนกต้อนรับดี โดยรวมดีคะ พยายามยิ้มแย้ม พูดจาไพเราะดีคะ,4,"The front desk is good. Overall, I tried to smile. Say it well"
บริการช้ามากกก ถ้าคนไข้เยอะนี่เข้าใจได้ แต่นี่เป็นปัญหาการประสานงานภายใน การส่งต่อคนไข้ ซึ่งไม่มีการติดต่อประสานงานกัน คนไข้นั่งรอเป็นชม. ส่งเรื่องการเงินก็ช้ามากก นั่งรอชำระเงินเกิบครึ่งชม. สรุปทางข้างบนยังไม่ส่งเรื่องให้การเงินดำเนินการ บริการช้า ยิ่งกว่ารพ.รัฐ ไม่สมกับค่ารักษาพยาบาลและค่ายาซึ่งแพงเหลือเกิน,1,"Service is very slow. If many patients can understand this But this is an internal coordination problem Referral Which has no coordination Patients sit and wait for hours. Sending financial matters is very slow Sitting waiting to pay half an hour In summary, the above does not send matters to the financial services more slowly than the government hospital. Not suitable for medical expenses and medicine, which is too expensive."
สุดยอดการวิเคราะห์หาสาเหตุของโรคของคุณหมอพร้อมให้การรักษาที่ดีเยี่ยม พยาบาลเอาใจใส่อย่างดี นี่คือ ร.พ. กรุงเทพ,5,"The ultimate analysis of the cause of the disease, the doctor is ready to provide excellent treatment. The nurse is very attentive. This is Bangkok Hospital."
มาใช้บริการที่นี่เป็นประจำ เจอหมอ 10 คน ดีซะ 9 อีกหนึ่งเป็นหมอโรบอต เดี๋ยวนี้ไป รพ ไหนก็เจอแต่หมอโรบอต ถามอาการแล้วจ่ายยาตามอาการ ไม่มองหน้าด้วยซ้ำ แต่หมอที่นี่น่ารัก ไม่พาณิชย์ด้วย ไม่ขยันขาย เลือกสิ่งที่ดีที่สุดให้คนไข้ แต่ก็ให้คนไข้ตัดสินใจว่ากำลังทรัพย์ตัวเองพอมั้ย,5,Come to use this service regularly. Meet 10 doctors. Good 9. Another one is a robotic doctor. Ask symptoms and dispense medication according to symptoms. Don't even look at the face But the doctors here are cute. Not commercially. Not diligent. Sell. Choose the best for the patient. But the patient has to decide whether he is sufficient
เมื่อไหร่จะปรับปรุงระบบเวลาจ่ายเงินและรับยาคะ อะไรก็ดีหมดแต่เบื่อมากกับเวลารอจ่ายเงินรับยา ช้าตลอด วันนี้พาคุณแม่มาตามหมอนัด รอจ่ายเงินรับยานานมาก พอถึงคิวไปที่เคาเตอร์จ่ายตัง รอบแรกคุณหมอลืมคีย์สั่งยาลงมา! ละคือที่นั่งรอมาเกือบครึ่งชม.เพื่อ?!? รอไปอีกสักพักใหญ่ๆถึงคิวจ่ายตังรับยาอีกรอบ รอบสองหมอสั่งยาผิดอีกค่ะ!! ต้องไปรอคิวจ่ายตังเพิ่มอีกรอบ สรุปเกือบ1ชม. ที่รอจ่ายตังและรับยา คือไม่ได้มารักษาฟรีนะคะ และคือหมอเป็นไรมากมั้ยคะ ถ้ามึนมากก็นอนอยุ่บ้านเถอะค่ะ จ่ายค่าหมอค่ายาไม่ใช่ถูกๆ แต่บริการเวลาจ่ายตังรับยานี่ห่วยมากค่ะ อย่างกับมารักษาฟรีขอยาฟรี ถ้าไม่ติดว่าประวัติรักษาที่นี่มานมนาน คงย้ายละ ลองมานั่งดูสีหน้าของลูกค้าแต่ละคนที่นั่งรอจ่ายตังรับยาดูนะคะแล้วจะรุ้ว่าเค้านั่งรอกันแบบเบื่อมากก็ไม่ถึงคิวสักที ปล. รพ.กรุงเทพ ซ.ศูนย์วิจัยค่ะ ปรับปรุงสักทีเถอะค่ะ จะได้ดีครบหมดทุกด้าน,2,"When will the time and payment system be updated? Everything is all good, but very bored with the time to wait to pay for the medicine. Slowly throughout the day, bring your mother to the doctor's appointment. Waiting to pay for the drug for a very long time. When it's queue to the cash desk The first round, the doctor forgot the key to order the medicine down! And the seat has been waiting for almost half an hour for?!? Wait a long time until the queue to pay again Round 2, the doctor ordered the wrong medicine again !! Have to wait in line to pay again Summary of almost 1 hour Waiting to be paid for and received medicine Meaning not coming to get treatment for free And is the doctor alright? If you're very dizzy, sleep in the house. Pay doctor fees, medicine is not cheap. But the service of paying for this drug is very bad. Like coming to treat for free, request free medicine If not sticking to the history of treatment here for a long time, would probably move. Try to sit and look at the faces of each customer who is waiting to pay to receive medication. Bangkok Hospital, Soi Research Center. Improve once Will be good in all aspects"
พนักงาน เเละ พยาบาล รวมถึงคุณหมอ บริการดีมากครับ มีความขาวสวย เเละใส่ใจคนไข้อย่างทั่วถึง,5,"Staff and nurses, including doctors, service is very good. The white is beautiful and cares for patients thoroughly."
รพ.กรุงเทพ... ปกติเราลูกค้าประจำแอดมินทีเป็นอาทิตย์ ค่ายาค่ารักษาไม่เคยบ่น หามาตั้งแต่เด็กจนโต.... .. แต่คราวนี้เกินไปค่ะ น้องสาวปวดท้องไป หมอให้แค่ยาแก้ปวดแถมบอกอาการไม่ได้อีกวีคค่อยมาหาใหม่ ยาแก้ปวด1ซองราคาเกือบหมื่นแถมให้กลับบ้านแบบงงๆว่าเราเป็นอะไร??? อาทิตย์หน้ามาจ่ายใหม่มางงใหม่เนี่ยนะคะ,2,"Bangkok Hospital ... Normally, we are regular customers, admin, is week. Medicine cost, treatment never complained Looking for a child until grown up .... .. but this time too The younger sister had a stomachache. The doctor only gave pain medication and couldn't tell the symptoms again. We started to come again. 1 sachet of painkillers, priced at nearly ten thousand, plus confusing home. What are we ??? Next week, come to pay again. Confused."
บริการดีค่ะ..ติดตามผลดีมาก..แต่บางขั้นตอนก้ช้าไป..นั่งรอนานเกือบคล้ายรัฐบาล..แต่โดยรวมบริการดีมากค่ะ♥♥,5,Good service .. very good follow-up..but some steps are too slow .. sitting and waiting for almost like government ... but overall the service is very good ♥♥
คุณหมอที่นี่เก่งมากวิเคราะห์และรักษาโรคเฉพาะทางได้ดีเยี่ยม,5,"The doctor here is very good, able to analyze and treat specific diseases."
รักษาดีมากค่ะพยาบาลพุดจาดีมากและคุนหมอด้วยนะ,5,"The treatment is very good. The nurses, Pudja are very good and you too."
อยากให้ดูแลพนักงานรับเหมาช่วงให้ดีกว่านี้ครับ อย่างน้อยน่าจะมห้สิทรักษาสุขภาพเค้าบ้าง,2,Would like to take better care of the subcontractor At least should be able to maintain his health.
ขอบคุณแผนกเนริสเซอร์รี่มากๆนะคะที่ดูแลลูกสาวเป็นอย่างดีระหว่างการพักฟื้นหลังคลอด.. พยายบาลน่ารักใจดีพูดเพราะทุกคน คุณหมอวนิชาก็ดีมากค่ะ ดูแลดีตั้งแต่ฝากครรภ์ยันผ่าคลอด พูดดีใส่ใจดูแลดี มาเยี่ยมไข้ตลอด ลูกแข็งแรงปลอดภัยดี ขอบคุณมากๆนะคะ,5,"Thank you very much to the Nurse Section for taking good care of your daughter during the post-partum recovery .. Lovely grandmother, kind, speaking because everyone Dr. Vanicha is also very good. Taking good care since the antenatal care Speak well, pay attention, take good care Visiting fever throughout The ball is strong and safe. Thank you very much"
ชื่นชมการบริการ ประทับใจมากครับ เป็นโรงพยาบาลที่ดูแลคนป่วยอย่างดี,5,Appreciate the service Very impressive Is a hospital that takes good care of patients
การบริการของเจ้าที่ก็ดีมากค่ะ แพทย์ก็ดีมากเช่นกันค่,5,The service of the owner is very good. The doctor is also very good.
บริการดี พยาบาลก้โอเค หมอคุยใช้ได้อยุ่ แต่ราคาแรงไปนิด 2วันเกือบ60000,4,"Good service, nurses are ok, doctors can talk. But the price is a bit too strong 2 days almost 60000"
ที่นี่มีคุณหมอที่เก่งๆและพยาบาลที่น่ารักมากๆสถานที่ก็ดีและสะอาดทุกคนให้การตอนรับเป็นอย่างดีค่ะถึงจะราคาดูจะสูงไปหน่อยค่ะแต่ขอติเรื่องกับข้าวทำไม่อร่อยเลยค่ะ.ฝากเรื่องกับข้าวค่ะ,4,"There are good doctors and lovely nurses. The place is nice and clean. Everyone gave the reception very well. Although the price seems a bit too high, but I would like to comment on the dish. It's not delicious. Leave a story about food."
เมื่อวานที่พาคุณแม่ของผมไปตรวจเป็นวันที่17/09/59 สงสัยเป็นวันหลังหวยออก ขณะนั่งรอคุณหมอมาตรวจ เจ้าหน้าที่พยาบาลพูดคุยกันเรื่องหวยเสียงดังมากๆ ถูกหวยอย่างนั้น ไม่ถูกหวยอย่างนี้ ส่วนสถานที่ คุณหมอผู้ตรวจและการบริการของทางโรงพยาบาลดีมากๆ เมื่อเดิมที่เคยผ่านมาครับ,5,"Yesterday, who took my mother to check on 17/09/2016 Suspected the day after the lottery results While sitting waiting for the doctor to come to check Nursing staff talked about lottery tickets very loudly. Win the lottery like that The lottery is not cheap. The place where the doctor, inspector and the service of the hospital is very good. Once in the past"
วันที่28มค.พาลูกสาวมาผ่าตัดเนื้อที่เต้านมจนถึงวันนี้แผลยังไม่หายยังมีอาการเจ็บมีเลือดไหลซึมมาพบหมอทีไรก็บอกว่าแผลปกติที่ผ่าเพราะกลัวกลายเป็นเนื้อร้ายไม่ต้องการผ่าเพื่อให้นมเน่า!!?จะสามเดือนแล้วแผลผ่าเล็กๆยังไม่หายมีปัญญาแค่คิดค่ายาแพงๆใส่ใจคนไข้แค่ใหน,2,"On 28 January, she took her daughter to undergo breast surgery. To this day, the wound has not healed. Still having pain, bleeding, seeping to see a doctor, however, says that the wound is normal because of fear of becoming a tumor. Rotten milk !!? Will be three months already. A small incision has not healed. Wisdom. Just charge expensive medicine. Pay attention to the patient."
สามีมีอาการแขนขาไม่มีแรง อยากปรึกษาปัญหา ติดต่อได้ที่ไหนค่ะ,5,The husband has weak limbs. Want to consult a problem Where can I contact?
แผนกภูมิแพ้มาทีไร นั่งรอนานทุกที..แผนกอื่นไม่เห็นนานขนาดนี้เลย..,3,Allergy Department Sitting and waiting for a long time .. Other departments didn't see that for so long ..
หมอน่ารักจะรับฉีดอย่างเดียวเลย ดูรวมๆแล้วมีเสน่ห์,5,The cute doctor will receive the injection only. Overall looks charming
ขอบคุณพ.ปิ่นนะคะ ใจดีมากๆค่ะ ...ตอนนี้อาการดีขึ้นเยอะเลย ^^,5,"Thank you K. Pin, very kind ... now the condition has improved a lot ^^"
คุณหมอน่ารัก พนักงานบริการดี ให้ข้อมูลละเอียด แต่สอนงานกันเสียงดังไปหน่อยเพราะข้อมูลที่กำลังคุยกันคือข้อมูลของคนไข้,5,"Lovely doctor, good service staff Provide detailed information But teaching the work to be a bit noisy because the information being discussed is the patient's information"
ทุกอย่างดีหมดยกเว้นที่จอดรถ มีน้อยมา8:00น.ต้องจอดชั้น7,3,Everything is good except for the car park. There is little coming 8:00 am. Must park on the 7th floor.
รอนานมากๆ ลิฟท์เก่าน่ากลัว แถมอาคารจอดรถยังงงๆมากๆ เพลียย,2,"Waiting very long. The lift is scary. In addition, the parking building is still very confused."
เมื่อวานไปใช้บริการครั้งแรก ประทับหลายๆเรื่อง ทั้งด้านการบริการของพี่เจ้าหน้าที่ทุกส่วน ความสะอาดในรพ. ที่สำคัญขอบพระคุณ อ.หมอทายาทและคุณหมอเตมีย์ ทั้งสองท่านให้คำวินิจฉัยโรคแบบละเอียดมากๆค่ะ..ประทับใจมากค่ะ,5,"Yesterday, go to use the service for the first time Many stamps Both the service of all staff members Cleanliness in the hospital Importantly, thank you Teacher Dr. Heir and Dr. Airforce Both of you gave a very detailed diagnosis .. very impressed."
มีรถตู้บริการรับส่งรถไฟฟ้าฟรีด้วย ร้านอาหารเยอะ บริการดี๊ดี,5,"There is a free electric shuttle van service. Lots of restaurants, good service"
