comment,score,en
ได้รับคำปรึกษาจากทีมแพทย์ดีมากค่ะ (สอบถามผ่านทางเน็ต) ติดต่อสื่อสารรวดเร็ว และ สะดวกยิ่งขึ้น ตั้งแต่ การลงทะเบียนออนไลฟ์ การจองคิว ออนไลน์ โดยเฉพาะ การรับยาโดยไม่ต้องไปรับเอง แต่ ทางโรงพยาบาลรามาธิบดี จะส่งยามาให้ (ขอบคุณมากๆ) ทุกอย่างโดยรวมถือว่าดีมากค่ะ อาทิตย์จะเข้าทำการรักษา แล้วจะมารีวิวเรื่องการพบแพทย์และงานบริการอื่นๆให้ฟังอีกครั้งนะค่ะ,5,"Received very good advice from the medical team (Online inquiry) faster and more convenient communication, from online registration, online queue reservation, especially to receive medication without having to pick up, but Ramathibodi Hospital will deliver the medicine (Thank you very much). Everything is overall very good. Athit will be admitted for treatment. And will come to review again about seeing doctors and other services"
ไปพบหมอสูติ นอกเวลาค่ะ ยื่นบัตรผู้ป่วยไม่ได้นัด 15:30น. จากนั้นนั่งรอเรียกชื่อค่ะ พยาบาลจะถามว่าเราเป็นอะไรมา แล้วก้อบอกว่าค่าใช้จ่ายนอกเวลาจะชาร์จขึ้นอีกเท่านึงจากเวลาปกตินะ พยาบาลพูดดี  ทุกอย่างโดยรวมถือว่าโอเค แต่คนไข้นอกเวลาเยอะนิดนึงนะคะ ตอนที่เราตรวจไปตรวจภายในค่ะ มีความผิดปกติคือ เป็นเชื้อราในช่องคลอด คุณหมอก็แนะนำดีมากเลยคะ แล้วก้อนัดอีกเดือนนึง เพื่อตรวจหามะเร็จปากมดลูก,5,"Go to see the obstetrician outside of time The nurse will ask what is wrong with us. And then said that the extra charge would be charged more than the normal time, the nurse said well, everything is OK But outpatients have a lot of time When we inspected the interior There is a disorder Is a vaginal fungus. The doctor recommended very well. And then an appointment for another month To check for cervicalage"
เคยไปผ่าตัดที่โรงพยาบาลนี้เขารักษาดูแลดีมากทั้งหมอสถาบันประสาทและรพ.นี้ช่วยกันดูแลหนูเป็นอย่างดีเลยตอนผ่าตัดมาผ่าที่รามาตอนรักษารักษาที่สถาบันประสาทมันอยู่ติดกันและตอนนี้ก็ไม่มีอาการแล้วหายแล้วแม่ก็ไปผ่าต้อที่รามาหมอฝีมือดีมากค่ะที่นี้เพื่อนก็มีโรคประจำตัวเขาเป็นไรไม่รู้แต่กินเท่าไหล่ก็ไม่อ้วนมีแต่กระตูกก็มาที่รามาหมอก็ให้คำปรึกษาอย่างดีเขาก็ดีขึ้นหุ่นเริ่มมีน้ำมีนวลขึ้นไม่เห็นกระดูกเหมือนเมื่อก่อนแล้วที่นี้ดีไม่มีคำว่าเลี้ยงไข้เคยไปมารพ.นึงก่อนจะมารักษาที่สถาบันประสาทและได้มาผ่าตัดที่นี้โดนเลี้ยงไข้มา3ปี,5,"I've been undergoing surgery at this hospital, he has very good care, both the Institute of Neuroscience and this hospital helped to take good care of me when the surgery came to Rama. When the treatment at the Neurological Institute was adjacent and now there is no. The symptoms then disappeared, and then the mother went to Ram. At Ram, the doctor was very skilled. Here, my friend has a congenital disease. He doesn't know. But eating as a shoulder is not fat. Well, he is better, the robot starts to have more water, does not see the bones as before, this place is good. There is no word for fever. I went to one hospital before coming to treatment at the Institute of Neuroscience and had surgery here. Come 3 years"
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,"Is a hospital that both families and relatives use Patient screening and data management systems are at an excellent level. The staff of the hospital are very good. The doctors are talented at a great level to very well. Is accepted internationally I came to treat epilepsy. Diabetes and neurological diseases here many years ago Doctors in different departments work well together. Also, my daughter came to treat epilepsy at this hospital as well. Healing from childhood until now is an adult. Although the disease has not disappeared But if strictly following the advice of the doctor The symptoms did not appear at all."
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,"Is a hospital that both families and relatives use Patient screening and data management systems are at an excellent level. The staff of the hospital are very good. The doctors are talented at a great level to very well. Is accepted internationally I came to treat epilepsy. Diabetes and neurological diseases here many years ago Doctors in different departments work well together. Also, my daughter came to treat epilepsy at this hospital as well. Healing from childhood until now is an adult. Although the disease has not disappeared But if strictly following the advice of the doctor The symptoms did not appear at all."
"ครั้งแรก ไปแผนกฉุกเฉิกแต่ไม่ใช่อุบัติเหตุ แพทย์ พยาบาล ให้คำแนะนำดีมาก อธิบาย ผลข้างเคียงจากการใช้ยา และเราประกอบการตัดสินใจ 

ไม่เคยไปรักษา แต่พอดีเลยลงทะเบียนผ่านหน้าเว็บไซด์ไว้นานแล้ว พอต้องไปจริง ใช้เลข ปชช. 13 หลัก ก็มีประวัติเลย ตรงนี้ดีมาก ขณะที่มีเรื่องฉุกเฉิน เราไม่ต้องมานั่งกรอกแบบฟอร์มหรือแจ้งข้อมูลอีก อาจจะรอนานหน่อย แต่ก็เข้าใจเพราะอาการเราไม่เหมือนอุบัติเหตุ",5,"First went to the emergency department, but not an accident. Doctors and nurses gave very good advice explaining the side effects from medication. And we make decisions

Never go to treatment But just enough to register through the website for a long time, after actually having to use the 13 digit digits of the PhD, there is a history. This is very good while there is an emergency. We don't have to sit and fill out forms or provide information. Maybe wait a little longer But understand because our symptoms are not like accidents"
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย,5,"Is a hospital that both families and relatives use Patient screening and data management systems are at an excellent level. The staff of the hospital are very good. The doctors are talented at a great level to very well. Is accepted internationally I came to treat epilepsy. Diabetes and neurological diseases here many years ago Doctors in different departments work well together. Also, my daughter came to treat epilepsy at this hospital as well. Healing from childhood until now is an adult. Although the disease has not disappeared But if strictly following the advice of the doctor The symptoms did not appear at all."
เป็นโรงพยาบาลที่ผมเองใช้บริการบ่อยๆ การบริการดีมากเลยครับ,4,Is a hospital that I often use services The service is very good.
ดีครับ ดูแลค่อนข้างดี,4,"Good, quite good care"
ให้บริการดี คุณหมอเอาใจใส่คนไข้ดี จัดเรียงระบบตามเวลานัด,4,The service is good. The doctor cares for the patients well. Arrange the system by appointment time.
ผ่าตัดหลังมาค่ะ คุณหมอใจดีมาก จนท.ดูแลดี เสีย แต่ไม่ค่อยยิ้มแย้มแจ่มใส เครื่อง mri เหมือนเก่า ตอนทำออกมาหน้ามืดเลย หายใจไม่ค่อยออก,4,"Back surgery The doctor is very kind, the officer takes good care, but doesn't smile very well. The mri machine is like the old one when I made it come out. Breathless"
พยาบาลพูดจาดี หมอเก่งมาก,5,"The nurse spoke very well, the doctor was very good."
ได้รับการผ่าตัดที่โรงพยาบาลรามาธิบดีค่ะ ซึ่งเป็นการผ่าตัดและการนอนโรงพยาบาลครั้งแรกในชีวิต ทำให้มีความกังวลมาก แต่แพทย์และพยาบาลดูแลเป็นอย่างดีค่ะ ให้คำแนะนำทั้งก่อนและหลังผ่าเป็นอย่างดี ทำให้รู้สึกคลายกังวลไปได้เยอะ กลับมาพักฟื้นที่บ้านแล้วมีปัญหาเกี่ยวแผลเลยโทรไปปรึกษา เจ้าหน้าที่ก็ให้บริการดีมากค่ะ,5,Had surgery at Ramathibodi Hospital Which is the first surgery and hospital stay in life Causing great concern But doctors and nurses are well looked after Gives good suggestions before and after the operation Makes you feel a lot of anxiety Came back to recuperate at home and had problems with the wound so called to consult The staff also provide very good service.
ดีทุกอย่าง ติดตรงค่าบริการ แยกบิลแปลกๆ  ซ้ำซ้อน จนต้องเดินไปถาม บอกมาเเค่ว่าหมอสั่ง  เฮ้อ,3,"Well, everything is straight. The service fee is weird. The bill is so strange that I have to walk over and ask. Tell me just that the doctor ordered, hey."
ถึงจะเป็นโรงพยาบาลของรัฐแต่ให้บริการและดูแลดีมากจริงๆค่ะ ตั้งแต่แพทย์พยาบาล จนถึงเจ้าหน้าที่ทุกท่านค่ะ,5,"Although it is a public hospital, the service and care are really good. From doctors to nurses To all the staff"
วันที่ 18/01/60 ฉันเป็นไข้ตัวร้อนมาก ตอนนั้นเวลาประมาณ18.00น. เพื่อนได้พาฉันไปที่โรงพยาบาลซึ่งตึกที่ไปรักษาคืออาคารฉุกเฉินคนไข้เยอะมากกก แต่พอเดินเข้าไปติดต่อเจ้าหน้าที่ใให้การตอนรับดีมาก ยิ้มแย้มแจ่มใส ใส่ใจดูแลถามอาการและให้การรักษาเราอย่างดี ทั้งที่เจ้าหน้าที่ก็ทำงานมาทั้งวันและคนไข้ก็เยอะมากแต่ยังดูแลคนไข้อย่างทั่วถึงและเต็มใจให้บริการ พร้อมรอยยิ้ม มันเป็นสิ่งที่เล็กน้อยแต่ทำให้เรารู้ว่าเค้าเต็มใจให้บริการและไม่ทอดทิ้งคนไข้ค่ะ,5,"Date 18/01/60 I have a very hot fever. At that time, around 18.00 hrs. My friend took me to the hospital and the building for treatment was an emergency building. There were a lot of patients. But when I walked in and contacted the staff Beaming Paying attention to the symptoms and asking and treating us well. Despite the staff working all day and many patients, but still taking care of the patients thoroughly and willing to provide service with a smile, it is a small thing, but we know that they are willing to serve and not abandon the patients."
อุปกรณ์เครื่องมือแพทย์ทันสมัย แพทย์ พยาบาล ทำการรักษาด้วยความตั้งใจ การบริการดีเยี่ยม,5,"Modern medical equipment, doctors, nurses perform treatment with determination Excellent service"
ฉันได้เข้าไปรักษาซีสที่รังไข่ด้วยวิธีการผ่าตัดที่โรงพยาบาลรามา คุณหมอดูแลดีมาก ผ่าตัดเชี่ยวชาญ ไม่เคยรู้สึกเจ็บ โรงพยาบาลี้ทำให้ดิฉันไม่กลัวการผ่าตัดค่ะ,5,"I went to see the ovarian cysts through surgery at Rama Hospital. The doctor takes good care. Specialized Surgery Never hurt Hospital, I am not afraid of surgery."
แพทย์ พยาบาล มีความเป็นมืออาชีพมาก สามารถจัดการกับปัญหาเฉพาะหน้าได้เป็นอย่างดี,4,Doctors and nurses are very professional. Able to deal with immediate problems
คุณพยายาลพูดจาเพราะทุกคน ดูแลดีมาก โดยเฉพาะพยาบาลและผู้ช่วยพยาบาลชั้น7อาคาร1 ดูแลผู้ป่วยดีมาก  ร่วมถึงนักศึกษาแพทย์ทุกคนล้วนน่ารัก,5,"Phaya Nalay speaks because everyone takes very good care, especially nurses and nurses on the 7th floor of Building 1. Very good patient care Including all medical students, all are cute"
ศูนย์การแพทย์สมเด็จพระเทพรัตน์ รพ.รามาธิบดี  คุณหมอและพยาบาลหน้าห้อง น่ารักมากๆ ทักทายยิ้มแย้มแจ่มใส คุณหมอ ใส่ใจแนะนำการดูแลคุณแม่และลูกในครรภ์ดีมากๆ อย่างละเอียด ประทับใจมากๆ ค่ะ,5,"The Princess Maha Chakri Sirindhorn Medical Center, Ramathibodi Hospital, the doctors and nurses in front of the room are very cute, greeted with a cheerful smile."
รักษาตาติดเชื้ออยู่ที่โรงบาลนี้ค่ะคุณหมอที่เป้นหมอประจำของเราเขาพูดจาดีมากค่ะ,4,"Treating an infected eye at this hospital. The doctor who is our regular doctor, he spoke very well."
การบริการของหมอและพยาบาลดีมาก.  แต่ควรปรับปรุงคือเรื่องเวลา. รอตรวจนานมาก. รอรับยานานมากเช่นกันค่ะ,4,The services of doctors and nurses are very good. But should improve is time. Waiting for a very long time to check. Waiting to receive the medicine for a long time as well.
